birthYear,proposal,attendance_rate,name,assembly_id
,6,84.03,,115
,34,91.95,,117
,6,90.78,,33
,32,76.44,,102
,58,91.95,,126
,51,97.70,,132
,102,98.85,,133
,15,87.93,,169
,9,79.89,,188
,15,87.93,,179
,16,97.13,,147
,11,89.08,,190
,72,92.53,,193
,60,64.37,,200
,22,89.66,,228
,60,64.37,,196
,19,95.40,,230
,18,77.59,,227
,37,87.93,,229
,30,92.53,,256
,21,77.01,,194
,16,89.66,,266
,9,97.70,,280
,4,73.56,,270
,11,77.01,,297
,24,94.83,,292
,19,96.55,,293
,174,94.83,,320
,9,77.01,,298
,85,93.10,,333
,24,93.68,,344
,39,85.63,,342
,43,93.10,,348
,12,84.48,,352
,235,84.48,,343
,30,90.23,,318
,138,97.70,,355
,45,97.70,,359
,62,87.93,,338
,70,90.80,,317
,14,81.61,,360
,4,85.71,,363
,49,89.08,,345
,43,75.29,,366
,13,83.91,,356
,71,93.68,,368
,52,94.83,,367
,35,87.36,,374
,64,82.18,,379
,75,96.55,,389
,67,95.98,,408
,18,89.08,,373
,39,89.66,,411
,69,74.14,,399
,11,85.63,,412
,40,95.40,,396
,9,94.25,,415
,47,93.10,,413
,47,87.36,,427
,41,93.68,,432
,43,93.68,,418
,38,85.06,,446
,83,83.33,,430
,5,29.89,,448
,38,94.25,,438
,25,93.68,,449
,66,98.28,,451
,69,92.53,,454
,162,95.98,,402
,63,90.80,,447
,157,95.98,,406
,56,92.53,,458
,121,90.23,,401
,28,84.48,,461
,35,93.10,,470
,169,97.13,,453
,15,89.66,,463
,65,94.25,,467
,20,72.99,,471
,59,78.16,,475
,6,74.14,,465
,34,83.33,,477
,58,92.53,,491
,33,93.68,,478
,156,88.51,,460
,32,94.83,,493
,39,85.63,,506
,90,90.23,,503
,42,93.68,,495
,106,96.55,,552
,80,92.53,,556
,19,81.82,,516
,32,90.23,,548
,89,95.98,,500
,177,74.14,,519
,45,93.68,,558
,26,83.33,,562
,45,95.40,,572
,25,72.41,,565
,36,94.25,,567
,180,100.00,,571
,60,87.36,,575
,18,79.31,,587
,41,90.80,,537
,39,89.08,,579
,35,90.23,,598
,71,97.70,,603
,83,95.40,,591
,116,92.53,,561
,17,94.83,,576
,23,89.08,,605
,32,98.85,,601
,14,82.18,,608
,38,92.53,,609
,35,91.38,,611
,62,85.06,,607
,262,91.95,,615
,8,77.92,,628
,50,90.23,,634
,36,81.03,,407
,28,81.03,,636
,53,95.98,,637
,13,76.62,,648
,32,94.25,,672
,45,90.23,,676
,26,91.95,,662
,38,79.89,,657
,32,99.43,,625
,110,95.98,,683
,35,90.23,,682
,73,93.68,,690
,48,98.28,,680
,55,95.40,,707
,35,77.59,,693
,49,94.25,,633
,73,85.06,,684
,33,96.55,,631
,44,90.80,,708
,105,92.53,,709
,87,98.28,,712
,83,96.55,,710
,138,97.13,,713
,22,93.10,,717
,43,98.85,,711
,27,85.63,,718
,16,96.55,,722
,137,91.38,,721
,29,96.55,,724
,35,95.40,,726
,25,91.95,,719
,30,70.69,,728
,21,77.59,,714
,11,87.93,,720
,29,85.06,,730
,43,95.40,,731
,28,82.18,,727
,42,91.95,,735
,35,94.25,,733
,30,81.03,,734
,45,93.10,,732
,87,93.68,,738
,49,91.95,,739
,22,93.68,,736
,4,73.56,,729
,41,91.38,,743
,25,95.40,,725
,20,93.10,,745
,45,98.28,,747
,114,98.85,,737
,19,83.91,,749
,44,89.66,,741
,17,87.36,,744
,30,89.08,,754
,44,90.23,,752
,62,88.51,,750
,60,90.80,,715
,32,93.68,,748
,50,93.10,,755
,26,83.33,,760
,23,89.08,,758
,30,83.91,,757
,119,96.55,,764
,60,89.08,,765
,60,91.95,,756
,34,93.10,,753
,45,86.21,,762
,124,93.10,,767
,25,92.53,,772
,98,83.33,,766
,38,94.83,,773
,139,84.48,,769
,76,89.66,,774
,42,87.36,,776
,63,89.08,,761
,44,89.08,,778
,165,96.55,,775
,34,93.68,,777
,82,100.00,,779
,21,94.83,,784
,21,90.23,,785
,111,94.83,,787
,45,91.95,,786
,41,86.21,,780
,46,97.13,,789
,23,88.51,,793
,26,91.95,,790
,178,93.10,,791
,59,93.10,,768
,69,94.25,,794
,47,92.53,,751
,116,95.40,,795
,36,91.95,,796
,35,98.28,,797
,66,98.28,,800
,65,86.21,,801
,47,89.08,,763
,49,89.66,,798
,41,94.83,,802
,49,93.68,,803
,146,94.25,,804
,19,93.10,,799
,41,96.55,,792
,53,95.98,,808
,44,87.93,,811
,38,87.36,,814
,42,87.93,,815
,35,66.67,,807
,37,89.08,,809
,73,94.83,,818
,55,90.23,,821
,50,94.25,,816
,43,94.25,,819
,26,79.89,,820
,54,89.08,,805
,47,94.25,,822
,99,91.38,,817
,28,87.93,,810
,0,97.70,,824
,136,83.91,,826
,72,94.25,,829
,45,85.06,,830
,27,89.08,,827
,49,90.23,,828
,42,87.36,,831
,71,89.66,,825
,25,97.13,,832
,52,90.23,,835
,83,97.13,,836
,128,90.80,,833
,24,94.25,,840
,49,93.10,,841
,45,83.91,,838
,116,95.98,,842
,69,63.79,,837
,35,91.95,,839
,52,93.68,,844
,162,85.63,,834
,72,98.85,,845
,42,90.23,,851
,66,92.53,,850
,30,92.76,,856
,39,91.38,,854
,35,93.58,,859
,25,95.24,,860
,38,91.28,,855
,36,87.65,,861
,11,83.12,,864
,22,87.01,,863
,15,100.00,,866
,18,90.78,,857
,41,97.40,,868
,13,97.40,,865
,21,89.61,,870
,62,93.10,,849
,23,96.10,,867
,71,92.44,,858
,1,100.00,,876
,21,97.40,,871
,20,89.61,,872
,17,83.12,,873
,12,94.81,,869
,9,93.18,,875
,0,88.89,,882
,1,92.59,,878
,5,100.00,,877
,40,97.40,,874
