candidacy_img,name,gender,address,education,experience,job,birth,district_code,party,criminal,candidacy_id
/photo_20160413/Sd4900/Gsg4901/Sgg2490102/Hb100118825/gicho/thumbnail.100118825.jpg,부상일,남,제주특별자치도 제주시 연삼로,서울대학교 법과대학 사법학과 졸업,"(전)제주대학교 법정대학 법학전문대학원 교수,(전)한나라당((현)새누리당)제주도당위원장",변호사,"1971/08/19,(44세)",2490102,새누리당,없음,100118825
/photo_20160413/Sd4900/Gsg4901/Sgg2490102/Hb100118984/gicho/thumbnail.100118984.jpg,오영훈,남,제주특별자치도 제주시 신산로15길,제주대학교 경영대학원 졸업(경영학 석사),"(전)제주특별자치도의회 민주당 원내대표,(전)8,9대 제주특별자치도의회 의원",(사)제주미래비전연구원장,"1968/12/14,(47세)",2490102,더불어민주당,1건,100118984
/photo_20160413/Sd4900/Gsg4901/Sgg2490102/Hb100119741/gicho/thumbnail.100119741.jpg,오수용,남,제주특별자치도 제주시 화삼로,"미 템플대학교대학원 졸업(법학석사, 2001.9.~2002.5.)","(현)미 뉴욕주 변호사 자격 취득,(현)국민의당중앙당 지역발전특위 위원장",제주대학교 법학전문대학원 교수,"1962/07/30,(53세)",2490102,국민의당,1건,100119741
/photo_20160413/Sd4900/Gsg4901/Sgg2490102/Hb100118846/gicho/thumbnail.100118846.jpg,차주홍,남,제주특별자치도 제주시 조천읍 신촌9길,제주대학교 경영대학원 졸업(석사),"(전)한국방송통신대학교 제주지역 제17대 총학생회장,(현)한나라당 부총재",(주)대명교통 대표이사,"1958/03/27,(58세)",2490102,한나라당,6건,100118846
/photo_20160413/Sd4900/Gsg4902/Sgg2490201/Hb100118845/gicho/thumbnail.100118845.jpg,강지용,남,제주특별자치도 서귀포시 하논로,고려대학교 농업경제학과 대학원  졸업(경제학 박사),"(전) 새누리당 서귀포시 당협위원장,(현) 제주대학교 산업응용경제학과 교수",제주대학교 교수,"1952/08/27,(63세)",2490201,새누리당,1건,100118845
/photo_20160413/Sd4900/Gsg4902/Sgg2490201/Hb100119000/gicho/thumbnail.100119000.jpg,위성곤,남,제주특별자치도 서귀포시 태평로,제주대학교 행정대학원(석사) 정치외교학과 정치학전공 수료,"(전)제주특별자치도의원(8, 9, 10대),(전)제주대학교 총학생회장",정당인,"1968/01/20,(48세)",2490201,더불어민주당,1건,100119000
/photo_20160413/Sd4900/Gsg4901/Sgg2490101/Hb100118454/gicho/thumbnail.100118454.jpg,양치석,남,제주특별자치도 제주시 애월읍 하귀3길,한국방송통신대학교 경영학과 재학,"(전)제주도 농축산식품국장,(현)새누리당제주도당부위원장",정당인,"1957/06/15,(58세)",2490101,새누리당,없음,100118454
/photo_20160413/Sd4900/Gsg4901/Sgg2490101/Hb100119827/gicho/thumbnail.100119827.jpg,강창일,남,제주특별자치도 제주시 과원북2길,"동경대학대학원 석·박사수료, 문학박사/동양사학('85.4.~'94.3.)","(전)국회 산업통상자원위원장,(현)국회 예산결산특별위원회 위원",국회의원,"1952/01/28,(64세)",2490101,더불어민주당,없음,100119827
/photo_20160413/Sd4900/Gsg4901/Sgg2490101/Hb100119710/gicho/thumbnail.100119710.jpg,장성철,남,제주특별자치도 제주시 도령로7길,제주대학교 대학원 농업경제학과 박사과정 수료,"(전)제주특별자치도 정책기획관,(현)(주)제주팜플러스 대표이사",기업인,"1968/08/24,(47세)",2490101,국민의당,없음,100119710
/photo_20160413/Sd4700/Gsg4710/Sgg2471001/Hb100119984/gicho/thumbnail.100119984.jpg,김종태,남,경상북도 상주시 냉림서성길,동국대학교 행정대학원 행정학석사(방위산업학),"(전)국군기무사령관,(현)19대 국회의원",국회의원,"1949/03/16,(67세)",2471001,새누리당,없음,100119984
