candidacy_img,name,gender,address,education,experience,job,birth,district_code,party,criminal,candidacy_id
/photo_20160413/Sd4900/Gsg4901/Sgg2490102/Hb100118825/gicho/thumbnail.100118825.jpg,부상일,남,제주특별자치도 제주시 연삼로,서울대학교 법과대학 사법학과 졸업,"(전)제주대학교 법정대학 법학전문대학원 교수,(전)한나라당((현)새누리당)제주도당위원장",변호사,"1971/08/19,(44세)",2490102,새누리당,없음,100118825
/photo_20160413/Sd4900/Gsg4901/Sgg2490102/Hb100118984/gicho/thumbnail.100118984.jpg,오영훈,남,제주특별자치도 제주시 신산로15길,제주대학교 경영대학원 졸업(경영학 석사),"(전)제주특별자치도의회 민주당 원내대표,(전)8,9대 제주특별자치도의회 의원",(사)제주미래비전연구원장,"1968/12/14,(47세)",2490102,더불어민주당,1건,100118984
/photo_20160413/Sd4900/Gsg4901/Sgg2490102/Hb100118846/gicho/thumbnail.100118846.jpg,차주홍,남,제주특별자치도 제주시 조천읍 신촌9길,제주대학교 경영대학원 졸업(석사),"(전)한국방송통신대학교 제주지역 제17대 총학생회장,(현)한나라당 부총재",(주)대명교통 대표이사,"1958/03/27,(58세)",2490102,한나라당,6건,100118846
/photo_20160413/Sd4900/Gsg4901/Sgg2490101/Hb100118454/gicho/thumbnail.100118454.jpg,양치석,남,제주특별자치도 제주시 애월읍 하귀3길,한국방송통신대학교 경영학과 재학,"(전)제주도 농축산식품국장,(현)새누리당제주도당부위원장",정당인,"1957/06/15,(58세)",2490101,새누리당,없음,100118454
/photo_20160413/Sd4900/Gsg4901/Sgg2490101/Hb100119827/gicho/thumbnail.100119827.jpg,강창일,남,제주특별자치도 제주시 과원북2길,"동경대학대학원 석·박사수료, 문학박사/동양사학('85.4.~'94.3.)","(전)국회 산업통상자원위원장,(현)국회 예산결산특별위원회 위원",국회의원,"1952/01/28,(64세)",2490101,더불어민주당,없음,100119827
/photo_20160413/Sd4600/Gsg4621/Sgg2462101/Hb100119800/gicho/thumbnail.100119800.jpg,주영순,남,전라남도 무안군 삼향읍 남악4로82번길,목포해양고등학교(현 목포해양대학교) 졸업,"(전)새누리당 전남도당위원장,(전)목포상공회의소 회장 3선",국회의원,"1946/04/08,(70세)",2462101,새누리당,없음,100119800
/photo_20160413/Sd4600/Gsg4621/Sgg2462101/Hb100118431/gicho/thumbnail.100118431.gif,서삼석,남,전라남도 무안군 무안읍 하마로,전남대학교 일반대학원 졸업(NGO학 박사),"(전)민선 3,4,5기 무안군수,(전)제 5, 6대 전라남도의원",정당인,"1959/08/03,(56세)",2462101,더불어민주당,없음,100118431
/photo_20160413/Sd4600/Gsg4621/Sgg2462101/Hb100120245/gicho/thumbnail.100120245.JPG,박준영,남,전라남도 무안군 삼향읍 남악5로22번길,성균관대학교 대학원 신문학전공(정치학 박사),"(전)청와대비서실 공보수석비서관겸 대변인,(전)전라남도 3선 도지사",정당인,"1946/10/21,(69세)",2462101,국민의당,없음,100120245
/photo_20160413/Sd4600/Gsg4621/Sgg2462101/Hb100120175/gicho/thumbnail.100120175.jpg,장문규,남,전라남도 영암군 삼호읍 삼호중앙로,목포대학교 경영학과 4년 제적,"(전)목포노동자회 회장,(전)금속노동조합 전남서남지역지회 지회장",노동운동가,"1968/01/19,(48세)",2462101,정의당,2건,100120175
/photo_20160413/Sd4600/Gsg4615/Sgg2461201/Hb100120185/gicho/thumbnail.100120185.jpg,신문식,남,전라남도 고흥군 포두면 봉림안길,한양대학교 행정.자치대학원 석사과정 중퇴(2004.03.02~2006.09.29),"(전)국회정책연구위원(별정직공무원 1급상당),(현)제19대 국회의원(농림축산식품해양수산위원회)",국회의원,"1955/03/28,(61세)",2461201,더불어민주당,없음,100120185
