district_name,city_code,district_code
제주시갑,4900,2490101
제주시을,4900,2490102
서귀포시,4900,2490201
포항시북구,4700,2470101
포항시남구울릉군,4700,2470201
경주시,4700,2470401
김천시,4700,2470501
안동시,4700,2470601
구미시갑,4700,2470701
구미시을,4700,2470702
영주시,4700,2470801
영천시,4700,2470901
상주시,4700,2471001
문경시예천군,4700,2471101
경산시청도군,4700,2471301
고령군성주군칠곡군,4700,2471701
군위군의성군청송군,4700,2471901
영양군영덕군봉화군울진군,4700,2472201
춘천시,4200,2420101
원주시갑,4200,2420202
원주시을,4200,2420203
강릉시,4200,2420301
동해시삼척시,4200,2420401
속초시고성군양양군,4200,2420801
홍천군횡성군,4200,2421201
태백시영월군평창군정선군,4200,2421401
철원군화천군양구군인제군,4200,2421601
창원시의창구,4800,2480101
창원시성산구,4800,2480102
창원시마산합포구,4800,2480201
창원시마산회원구,4800,2480202
창원시진해구,4800,2480401
진주시갑,4800,2480301
진주시을,4800,2480302
통영시고성군,4800,2480501
사천시남해군하동군,4800,2480702
김해시갑,4800,2480801
김해시을,4800,2480802
밀양시창녕군,4800,2480901
거제시,4800,2481001
양산시,4800,2481401
의령군함안군합천군,4800,2481201
산청군함양군거창군,4800,2481901
천안시갑,4400,2440101
천안시을,4400,2440102
공주시,4400,2440202
보령시서천군,4400,2440301
아산시,4400,2440401
서산시태안군,4400,2440501
논산시계룡시금산군,4400,2440901
부여군청양군,4400,2441101
홍성군예산군,4400,2441301
당진시,4400,2441601
목포시,4600,2460101
여수시갑,4600,2460201
여수시을,4600,2460202
순천시곡성군,4600,2460402
나주시화순군,4600,2460601
광양시구례군,4600,2460702
담양군함평군영광군장성군,4600,2462202
고흥군보성군,4600,2461201
장흥군강진군영암군,4600,2461501
해남군완도군진도군,4600,2461801
무안군신안군,4600,2462101
전주시완산구갑,4500,2450101
전주시완산구을,4500,2450102
전주시덕진구,4500,2450201
군산시,4500,2450301
익산시갑,4500,2450501
익산시을,4500,2450502
정읍시,4500,2450701
남원시순창군,4500,2450801
김제시완주군,4500,2450901
진안군무주군장수군임실군,4500,2451101
고창군부안군,4500,2451601
청주시상당구,4300,2430101
청주시흥덕구갑,4300,2430201
청주시흥덕구을,4300,2430202
충주시,4300,2430301
제천시단양군,4300,2430401
청원군,4300,2430601
보은군옥천군영동군,4300,2430701
증평군진천군괴산군음성군,4300,2431001
수원시갑,4100,2410101
수원시을,4100,2410201
수원시병,4100,2410301
수원시정,4100,2410401
성남시수정구,4100,2410501
성남시중원구,4100,2410601
성남시분당구갑,4100,2410701
성남시분당구을,4100,2410702
의정부시갑,4100,2410801
의정부시을,4100,2410802
안양시만안구,4100,2410901
안양시동안구갑,4100,2411001
안양시동안구을,4100,2411002
부천시원미구갑,4100,2411101
부천시원미구을,4100,2411102
부천시소사구,4100,2411201
부천시오정구,4100,2411301
광명시갑,4100,2411401
광명시을,4100,2411402
평택시갑,4100,2411501
평택시을,4100,2411502
양주시동두천시,4100,2411601
안산시상록구갑,4100,2411801
안산시상록구을,4100,2411802
안산시단원구갑,4100,2411901
안산시단원구을,4100,2411902
고양시덕양구갑,4100,2412001
고양시덕양구을,4100,2412002
세종특별자치시,5100,2510101
동구,3000,2300101
중구,3000,2300201
서구갑,3000,2300301
서구을,3000,2300302
유성구,3000,2300401
대덕구,3000,2300501
고양시일산동구,4100,2412101
고양시일산서구,4100,2412201
