town_code,city_code,town_name
2490101,4900,제주시갑
2490102,4900,제주시을
2490201,4900,서귀포시
2440101,4400,천안시갑
2440102,4400,천안시을
2440202,4400,공주시
2440301,4400,보령시서천군
2440401,4400,아산시
2440501,4400,서산시태안군
2440901,4400,논산시계룡시금산군
2441101,4400,부여군청양군
2441301,4400,홍성군예산군
2441601,4400,당진시
2480101,4800,창원시의창구
2480102,4800,창원시성산구
2480201,4800,창원시마산합포구
2480202,4800,창원시마산회원구
2480401,4800,창원시진해구
2480301,4800,진주시갑
2480302,4800,진주시을
2480501,4800,통영시고성군
2480702,4800,사천시남해군하동군
2480801,4800,김해시갑
2480802,4800,김해시을
2480901,4800,밀양시창녕군
2481001,4800,거제시
2481401,4800,양산시
2481201,4800,의령군함안군합천군
2481901,4800,산청군함양군거창군
2430101,4300,청주시상당구
2430201,4300,청주시흥덕구갑
2430202,4300,청주시흥덕구을
2430301,4300,충주시
2430401,4300,제천시단양군
2430601,4300,청원군
2430701,4300,보은군옥천군영동군
2431001,4300,증평군진천군괴산군음성군
2460101,4600,목포시
2460201,4600,여수시갑
2460202,4600,여수시을
2460402,4600,순천시곡성군
2460601,4600,나주시화순군
2460702,4600,광양시구례군
2462202,4600,담양군함평군영광군장성군
2461201,4600,고흥군보성군
2461501,4600,장흥군강진군영암군
2461801,4600,해남군완도군진도군
2462101,4600,무안군신안군
2420101,4200,춘천시
2420202,4200,원주시갑
2420203,4200,원주시을
2420301,4200,강릉시
2420401,4200,동해시삼척시
2420801,4200,속초시고성군양양군
2421201,4200,홍천군횡성군
2421401,4200,태백시영월군평창군정선군
2421601,4200,철원군화천군양구군인제군
2470101,4700,포항시북구
2470201,4700,포항시남구울릉군
2470401,4700,경주시
2470501,4700,김천시
2470601,4700,안동시
2470701,4700,구미시갑
2470702,4700,구미시을
2470801,4700,영주시
2470901,4700,영천시
2471001,4700,상주시
2471101,4700,문경시예천군
2471301,4700,경산시청도군
2471701,4700,고령군성주군칠곡군
2471901,4700,군위군의성군청송군
2472201,4700,영양군영덕군봉화군울진군
2450101,4500,전주시완산구갑
2450102,4500,전주시완산구을
2450201,4500,전주시덕진구
2450301,4500,군산시
2450501,4500,익산시갑
2450502,4500,익산시을
2450701,4500,정읍시
