districtCode,cityCode,districtName
2490101,4900,제주시갑
2490102,4900,제주시을
2490201,4900,서귀포시
2460101,4600,목포시
2460201,4600,여수시갑
2460202,4600,여수시을
2460403,4600,순천시
2460601,4600,나주시화순군
2460702,4600,광양시곡성군구례군
2462202,4600,담양군함평군영광군장성군
2461201,4600,고흥군보성군장흥군강진군
2461801,4600,해남군완도군진도군
2462101,4600,영암군무안군신안군
2430101,4300,청주시상당구
2430201,4300,청주시서원구
2430202,4300,청주시흥덕구
2430601,4300,청주시청원구
2430301,4300,충주시
2430401,4300,제천시단양군
2430701,4300,보은군옥천군영동군괴산군
2431002,4300,증평군진천군음성군
2420101,4200,춘천시
2420202,4200,원주시갑
2420203,4200,원주시을
2420301,4200,강릉시
2420401,4200,동해시삼척시
2421401,4200,태백시횡성군영월군평창군정선군
2420801,4200,속초시고성군양양군
2421601,4200,홍천군철원군화천군양구군인제군
2450101,4500,전주시갑
2450102,4500,전주시을
2450201,4500,전주시병
2450301,4500,군산시
2450501,4500,익산시갑
2450502,4500,익산시을
2450701,4500,정읍시고창군
2450801,4500,남원시임실군순창군
2450902,4500,김제시부안군
2451001,4500,완주군진안군무주군장수군
2440101,4400,천안시갑
2440102,4400,천안시을
2440103,4400,천안시병
2440202,4400,공주시부여군청양군
2440301,4400,보령시서천군
2440402,4400,아산시갑
2440403,4400,아산시을
2440501,4400,서산시태안군
2440901,4400,논산시계룡시금산군
2441601,4400,당진시
2441301,4400,홍성군예산군
2410101,4100,수원시갑
2410201,4100,수원시을
2410301,4100,수원시병
2410401,4100,수원시정
2410202,4100,수원시무
2410501,4100,성남시수정구
2410601,4100,성남시중원구
2410701,4100,성남시분당구갑
2410702,4100,성남시분당구을
2410801,4100,의정부시갑
2410802,4100,의정부시을
2410901,4100,안양시만안구
2411001,4100,안양시동안구갑
2411002,4100,안양시동안구을
2411101,4100,부천시원미구갑
2411102,4100,부천시원미구을
2411201,4100,부천시소사구
2411301,4100,부천시오정구
2510101,5100,세종특별자치시
2411401,4100,광명시갑
2411402,4100,광명시을
2411501,4100,평택시갑
2411502,4100,평택시을
2411701,4100,동두천시연천군
2411801,4100,안산시상록구갑
2411802,4100,안산시상록구을
2411901,4100,안산시단원구갑
2411902,4100,안산시단원구을
